question,option_a,option_b,option_c,option_d,answer,explanation,topic
What does reliability in research refer to?,Consistency of outcome on repeated measures,Whether operationalized concepts measure what they purport to measure,Ensuring a research study is well-designed with respect to statistical analysis,Preventing inappropriate users or uses of data,A,"Reliability in research refers to the consistency of outcome if the conditions of things being studied have not themselves changed, or obtaining the same result on repeated measures of the same phenomenon.",ACRP
What are the three main goals of data lifecycle management (DLM)?,"Confidentiality, availability, and integrity","Confidentiality, accuracy, and replication","Integrity, accuracy, and availability","Integrity, replication, and confidentiality",A,"The three main goals of data lifecycle management (DLM) are confidentiality, availability, and integrity. These principles ensure that data is kept secure, accessible when needed, and accurate throughout the study lifecycle.",ACRP
What is the main goal of data lifecycle management in a research project?,"Ensure data confidentiality, integrity, and availability",Maximize data collection efficiency,Minimize data storage costs,Speed up data analysis process,A,"The main goal of data lifecycle management in a research project is to ensure data confidentiality, integrity, and availability for as long as the data exists. This involves balancing prevention, detection, and response to problems to achieve these goals.",ACRP
What is the most important function of peer review?,Quality control,Scholarly significance,Methodology evaluation,Originality assessment,A,Peer review primarily serves as a form of quality control to ensure the validity and reliability of research findings before publication.,ACRP
What is the main reason that grant proposal reviewers with a conflict of interest should remove themselves from the review process?,To avoid disclosing their conflict of interest,To speed up the review process,To increase the chance of bias in the review process,Their removal lessens the chance that bias will affect the review process,D,"Reviewers with a conflict of interest should remove themselves from the review process to lessen the chance that bias will affect the review process, ensuring a fair and unbiased evaluation.",ACRP
What is the term used to describe conducting research in a manner that disregards or violates federal regulations or organizational policies?,Questionable research practices,Noncompliance,Research misconduct,Adjudication,B,"Noncompliance refers to conducting research in a manner that disregards or violates federal regulations or organizational policies, as stated in the passage.",ACRP
What is the most effective strategy for preventing research misconduct?,Using materials from a source without proper citation,"Manipulating research materials, equipment, or processes, or changing or omitting data",Plagiarism,Good mentoring,D,"Good mentoring is considered the most effective strategy for preventing research misconduct as it involves guiding researchers in ethical practices, proper conduct, and accountability.",ACRP
Which regulation is specifically related to FDA conflict of interest regulations for clinical trials?,"42 CFR 50, Subpart F",45 CFR 94,21 CFR 52,2011 regulations for PHS-funded research,C,"21 CFR 52 is specifically related to FDA conflict of interest regulations requiring the sponsor of a clinical trial to provide certain financial interest information about the clinical trial investigators when submitting a marketing application for drug, biological product, or device.",ACRP
What must investigators planning to participate in PHS-funded research disclose to their institution?,"Income in excess of $5,000 from a publicly-traded entity during the past 12 months","Stock valued in excess of $5,000 at the time of disclosure in a publicly-traded entity","A combination of income and stock value exceeding $5,000",Any amount of equity in a non-publicly traded entity,C,"Investigators planning to participate in PHS-funded research must disclose a combination of income in excess of $5,000 from a publicly-traded entity during the past 12 months and stock valued in excess of $5,000 at the time of disclosure in a publicly-traded entity, if the combination exceeds $5,000.",ACRP
Who is responsible for determining if a financial conflict of interest (FCOI) exists in a research study?,Institution,Research team members,Journal editors,Human subjects,A,"In the passage, it is stated that it is the institution's responsibility to determine whether any of an investigator's significant financial interests (SFIs) could directly and significantly affect the research or the entity's financial interest could be affected by the research. If either of these conditions is present, an FCOI exists, and the institution must develop and implement a management plan to address it.",ACRP
Which of the following is a requirement for investigators pursuing US PHS funding regarding the disclosure of their significant financial interests (SFI) to their institution?,Disclose their SFI at the time of receiving funding,Disclose their SFI at the time of project completion,Disclose their SFI no later than the time of applying for funding,Disclose their SFI during the research data analysis phase,C,"Investigators pursuing US PHS funding are required to disclose their significant financial interests (SFI) to their institution no later than the time of applying for funding, as per the regulations mentioned in the passage.",ACRP
What must institutions do when managing identified financial conflicts of interest related to PHS-funded research?,Submit reports only when new interests are disclosed,Report annually regardless of new disclosures,Determine if the interests could have a direct and significant effect on the research,Disclose SFIs related to personal finances,C,"Institutions must determine whether the disclosed financial interests could have a direct and significant effect on the design, conduct, or reporting of the PHS-funded research. This is a crucial step in managing financial conflicts of interest in research.",ACRP
Which of the following is NOT required to be described in an institution's management plan for addressing Financial Conflicts of Interest (FCOI)?,Role and principal duties of the conflicted Investigator in the research project,Conditions of the management plan,Confirmation of the Investigator's agreement to the management plan,Annual dollar value of the financial disclosures,D,"The annual dollar value of the financial disclosures is not required to be described in the institution's management plan for addressing Financial Conflicts of Interest (FCOI). The management plan should focus on roles, conditions, agreement confirmation, and monitoring for compliance.",ACRP
"According to the passage, what is the timeframe for an institution to complete a retrospective review of research to determine bias if there is noncompliance with managing a FCOI?",30 days,60 days,90 days,120 days,D,"The passage states that if an institution fails to manage a FCOI, within 120 days, they must complete a retrospective review of research to determine whether there was bias in the design, conduct, or reporting of the research conducted during the period of noncompliance.",ACRP
Which of the following entities is excluded from the disclosure requirement for travel sponsored by outside entities?,"A US federal, state, or local government agency",A US institution of higher education as defined at 20 USC 1001(a),A US academic teaching hospital,A US private pharmaceutical company,D,"The passage states that travel sponsored by US federal, state, or local government agencies, US institutions of higher education, US academic teaching hospitals, and US research institutes affiliated with higher education institutions are excluded from the disclosure requirement. However, travel sponsored by private pharmaceutical companies is not explicitly mentioned as being exempt from the disclosure requirement.",ACRP
Which of the following is the most appropriate way to handle a conflict of conscience relating to a project?,Ignore the conflict and proceed with the project,Notify relevant parties that a conflict may exist and seek advice about whether to accept or decline the project,Keep the conflict to oneself and try to manage it independently,Immediately decline the project without further consideration,B,"In cases of conflict of conscience, it is important to notify relevant parties that a conflict may exist and seek advice about whether to accept or decline the project. This approach allows for transparency and ethical decision-making in handling conflicts that may impact the objectivity of research or job duties.",ACRP
What is the primary purpose of an Institutional Review Board (IRB) in clinical research?,To maximize benefits and minimize risks for study participants,To evaluate the conduct of a study and the quality of the data produced,To assure the protection of the rights and welfare of human subjects,To review and approve the initiation of biomedical research,C,"The primary purpose of an Institutional Review Board (IRB) is to assure the protection of the rights and welfare of human subjects involved in biomedical research. IRBs are responsible for reviewing, approving, and conducting periodic reviews of research protocols to ensure the ethical treatment of study participants.",ACRP
Which document serves as a compilation of clinical and nonclinical data on the investigational product for investigators and ethics committees during a clinical trial?,Investigator's brochure (IB),Source Document,Validation of computer systems,Study feasibility,A,The Investigator's brochure (IB) is a compilation of the clinical and nonclinical data on the investigational product and serves as a resource for investigators and ethics committees during the conduct of a clinical trial.,ACRP
"According to ICH E6 Section 4.1, what is one of the investigator obligations related to qualifications for conducting a clinical trial?",Having a personal connection to the sponsor,Being familiar with GMP but not necessarily GCP,Maintaining a list of qualified persons for delegated duties,Ignoring regulatory requirements for the sake of efficiency,C,"According to ICH E6 Section 4.1, one of the investigator obligations is to maintain a list of appropriately qualified persons to whom the investigator has delegated significant trial-related duties. This ensures that responsibilities are properly distributed and carried out by qualified individuals.",ACRP
"According to ICH E6 Section 4.3.3, what action should the investigator take if the subject agrees?",Inform the subject's primary physician about the subject's participation in the trial,Inform the subject about the financial agreements of the trial,Terminate the subject from the trial immediately,Withhold information from the subject,A,"According to ICH E6 Section 4.3.3, if the subject agrees, the investigator should inform the subject's primary physician about the subject's participation in the trial. This is important for ensuring proper communication and coordination of care for the subject.",ACRP
What is the primary responsibility of an investigator who signs Form FDA 1572?,Conduct study procedures according to GCP guidelines,Maintain accurate financial records,Ensure timely submission of study data to regulatory authorities,Recruit participants for the clinical trial,A,"By signing Form FDA 1572, the investigator assumes full responsibility for the study and agrees to personally conduct or supervise the study in accordance with the protocol and GCP guidelines. This includes protecting the health and welfare of research subjects, reporting adverse events, ensuring personnel understand their obligations, maintaining accurate records, and complying with FDA regulations.",ACRP
"According to 21 CFR 54, what must investigators report to the company submitting the NDA?","Any equity interest in a publicly held company exceeding $50,000",Compensation not affected by study outcome,Ownership of a patent related to the tested product,Any payments made to the investigator for conducting the clinical study,A,"According to 21 CFR 54, investigators must report any equity interest in a publicly held company that exceeds $50,000 in value to the company submitting the NDA. This is one of the key financial disclosures required.",ACRP
What is required to be submitted to the IRB/IEC for approval by the investigator?,"Protocol, informed consent form, investigator's brochure, subject recruitment material, and any written information to be provided to the subjects","Investigator's brochure, subject recruitment material, and any written information to be provided to the subjects","Protocol, informed consent form, and investigator's brochure only","Protocol, informed consent form, and subject recruitment material only",A,"The investigator is required to submit all investigational materials to the IRB/IEC for approval, including the protocol, informed consent form, investigator's brochure, subject recruitment material, and any written information to be provided to the subjects.",ACRP
What is the purpose of a Site Initiation Visit (SIV) in a clinical trial?,To review and retrieve data,To address data discrepancies,To ship study product to the site,"To initiate the site and review protocol, data-collection instructions, and regulatory obligations",D,"A Site Initiation Visit (SIV) is conducted to initiate the site and review essential documents such as the protocol, data-collection instructions, and regulatory obligations before study product shipment and subject recruitment begin.",ACRP
"According to the passage, how long must the investigator maintain study records after the drug has been granted marketing approval in the US for the indication tested in the study?",1 year,2 years,3 years,4 years,B,"The passage states that the investigator must maintain study records for at least 2 years after the drug has been granted marketing approval in the US for the indication tested in the study or, if no application will be filed or if the application is not approved for the indication, for at least 2 years after the investigation is terminated and the FDA is notified.",ACRP
What should an investigator do if they deviate from the protocol without IRB/IEC approval to eliminate an immediate hazard to subjects?,Report the deviation to the sponsor and the IRB/IEC,Document the deviation but no need to report it,Ignore the deviation as it was for subject safety,Notify the regulatory authorities only,A,"In such a scenario, the investigator should report the deviation as soon as possible to the sponsor and the IRB/IEC to determine its reporting requirements as some sites may have different reporting policies.",ACRP
Who is responsible for notifying the sponsor of serious adverse events in a clinical trial?,Investigators,IRB/IEC,Research Subjects,FDA,A,"Investigators are responsible for notifying the sponsor of serious adverse events in a clinical trial, as part of their commitments to the sponsor, IRB/IEC, subjects, and FDA.",ACRP
Who is responsible for reporting directly to the FDA the investigator's financial interests with the sponsor?,Investigator,IRB,Sponsor,FDA,C,The sponsor is responsible for reporting directly to the FDA the investigator's financial interests with the sponsor as per regulatory requirements.,ACRP
"According to the passage, when should informed consent be obtained from a subject in a clinical trial?",Before any procedures related to the trial are conducted,Only after the subject has completed the trial,Only if the subject is able to give consent on their own behalf,"Before procedures solely for determining eligibility, but not for procedures part of medical care",D,"The passage states that informed consent must be obtained before the subject participates in any procedures that are done solely for purposes, including determining eligibility for the study. However, procedures that are to be performed as part of the subject's medical care, and which would be done whether or not the participation in the trial were being considered, may be completed without first obtaining informed consent.",ACRP
What is a key requirement for obtaining informed consent from a subject in a clinical trial?,Having the subject verbally agree to participate,Using the most current IRB/IEC-approved version of the consent form,Having a witness sign and date the consent form,Providing a summary of the study instead of a detailed consent form,B,"In clinical trials, it is crucial to use the most current IRB/IEC-approved version of the consent form when obtaining informed consent from a subject. This ensures that the subject is provided with the latest and most accurate information about the study and their participation.",ACRP
Which regulatory requirement states that an investigator must ensure that the subject's signature fulfills the electronic signature requirements?,Answer translated,Answer impartial witness,Answer 21 CFR 11 (Part 11),Answer write,C,The FDA requirement for ensuring that the subject's signature fulfills the electronic signature requirements is outlined in 21 CFR 11 (Part 11) regarding electronic records and electronic signatures.,ACRP
"According to FDA regulations, when can the IRB/IEC waive the requirement for assent from children?",If the children are incapable of understanding the research,If there is a prospect of direct benefit to the children that is not available outside of the research,If the requirements for a waiver of consent are met,All of the above,D,"Per FDA regulations at 21 CFR 50.55 c, the IRB/IEC can waive the requirement for assent from children if they are incapable of understanding the research, there is a prospect of direct benefit to the children not available outside of the research, or if the requirements for a waiver of consent are met.",ACRP
"According to ICH E6, in what circumstances can research be conducted in emergency situations without first obtaining consent?",When the subject is able to communicate consent,When there is sufficient time to obtain consent,When an alternative exists that provides an equal or better chance of saving the subject's life,When the situation necessitates the use of a test article and there is no alternative for saving the subject's life,D,"According to ICH E6, research can be conducted in emergency situations without first obtaining consent when the situation necessitates the use of a test article and there is no alternative that will provide an equal or better chance of saving the subject's life.",ACRP
What is the purpose of a randomized controlled trial?,To split subjects into different groups based on their preferences,To assign subjects randomly into experimental and control groups,To conduct trials without any standard treatment or placebo,To ensure the confidentiality of trial subjects,B,"In a randomized controlled trial, subjects are assigned randomly into at least two groups: one receiving the experimental agent and the other receiving a standard treatment, no treatment, or a placebo. This random assignment helps to minimize bias and ensure the credibility of the study results.",ACRP
What is the purpose of the IND submission process mentioned in the passage?,To provide safety updates to the FDA,To notify FDA of relevant changes in investigators,To allow investigators to evaluate the drug using tissue cultures and animal models,To file an application with the FDA before conducting human clinical trials,D,"The passage states that the purpose of the IND submission process is to file an application (Form FDA 1571) with the FDA before conducting human clinical trials with an experimental drug. This submission includes all known information about the investigational product, such as the results of preclinical trials, for the FDA to review and determine the relative safety of the article before allowing it to be tested in humans.",ACRP
What is the primary goal of Phase III clinical trials?,Assess toxicity,Examine preliminary effectiveness of drug,Determine drug's effectiveness,Confirm Phase II findings,C,"Phase III clinical trials primarily aim to determine the drug's effectiveness, confirm the findings from Phase II, and assess long-term drug safety. These trials involve controlled and uncontrolled studies enrolling larger patient numbers to seek confirmation of Phase II results.",ACRP
What is the purpose of the Investigator's Brochure (IB) in clinical trials?,To collect long-term safety and efficacy data,To compare the drug with other drugs on the market,To provide investigators with relevant information on the investigational product(s),To update regulatory authorities on trial progress,C,"The purpose of the Investigator's Brochure (IB) is to provide the investigators and others involved in the trial with the information to facilitate their understanding of the rationale for, and their compliance with, many key features of the protocol related to the investigational product(s) being studied.",ACRP
"According to the passage, what is required to ensure secure user access to data in computer systems?",Regularly delete electronic records,Maintain a list of individuals authorized to make changes,Allow unrestricted access to all system users,Share system login credentials with all employees,B,"The passage states that to ensure secure user access to data, computer systems must maintain a list of individuals authorized to make changes. This helps control access and ensure that only authorized individuals can alter records and perform operations.",ACRP
"According to ICH E6, what is required for a record to be considered a certified copy of the original record?",It must be notarized by a certified authority,It must be a paper copy of the original record,It must have been verified or generated through a validated process to produce an exact copy of the original,It must have a stamp of approval from the study sponsor,C,"According to ICH E6, for a record to be a certified copy, it must have been verified or generated through a validated process to produce an exact copy of the original.",ACRP
What is the primary goal of the ICH (International Council for Harmonisation of Technical Requirements for Pharmaceuticals for Human Use)?,To conduct preclinical toxicology studies,To standardize technical guidelines for drug marketing registrations,To enforce regulations on clinical trials,To develop new investigational drugs,B,"The goal of the ICH is to standardize technical guidelines and requirements for drug marketing registrations, so that applications for marketing to various regulatory agencies around the world can occur without redundant testing.",ACRP
What is the main purpose of ICH E6 guideline in relation to clinical research?,Ensuring chemical and pharmaceutical quality assurance,Conducting in vitro and in vivo preclinical research,Supporting marketing applications for drugs involving human subjects,Covering topics that do not fit uniquely into one category,C,"The ICH E6 guideline pertains specifically to the conduct of clinical research to support marketing applications for drugs, providing a unified standard for designing, conducting, recording, and reporting research involving human subjects.",ACRP
"According to the ICH E6 guidelines, what is the most important consideration in clinical trials?",Interests of science and society,Anticipated benefits,"Safety, rights, and well-being of trial subjects",Protocol compliance,C,"The passage states that the rights, safety, and well-being of the trial subjects are the most important considerations in clinical trials, prevailing over interests of science and society.",ACRP
"According to ICH Section 4.8.10, who should be granted direct access to the subject's original medical records for verification of clinical trial procedures and/or data?","Monitors, auditors, IRB/IEC, and regulatory authorities",Sponsor and investigators,Only the sponsor,Subjects and their family members,A,"ICH Section 4.8.10 states that the informed consent should indicate that monitors, auditors, the IRB/IEC, and regulatory authorities will be granted direct access to the subject's original medical records for verification of clinical trial procedures and/or data, without violating the confidentiality of the subject.",ACRP
"According to ICH E6 guidelines, what is a significant change for trial monitoring in terms of quality management system implementation?",Routine periodic record auditing,Identification of study risks for continual monitoring,Delegating responsibilities to a CRO,Transferring all obligations to a CRO,B,The significant change for trial monitoring in terms of quality management system implementation according to ICH E6 guidelines is the identification of study risks to determine which may safely be omitted from continual monitoring. This approach goes beyond routine periodic record auditing and requires a risk-based system for quality management.,ACRP
"According to ICH E6, what is required for the consent process in a clinical trial?",Short form consent,Disclosure to subjects about third party access to medical records,Prorated payments information,Treatment alternatives' risks and benefits,B,ICH E6 requires disclosure to subjects about third party access to their medical records as part of the consent process in a clinical trial.,ACRP
"According to ICH E6, which of the following is NOT a requirement for source data in a clinical trial?",Attributable,Legible,Certified,Contemporaneous,C,"ICH E6 requires that source data should be attributable, legible, contemporaneous, original, accurate, and complete. However, it does not specifically mention that the source data needs to be certified.",ACRP
"According to the passage, what is the purpose of centralized monitoring in clinical trials?",To conduct on-site evaluations of accumulating data,To perform remote evaluation of accumulating data,To solely rely on trial-site visits for monitoring,To delegate monitoring responsibilities to investigators,B,"Centralized monitoring, also referred to as remote monitoring, is a remote evaluation of accumulating data, performed in a timely manner, supported by appropriately qualified and trained persons.",ACRP
"According to ICH E6 guidelines, what should be included in the informed consent form regarding alternative treatments?",Explanation of alternative procedures and their benefits and risks,Statement that the study involves research and expected duration,Description of procedures to be followed and identification of experimental procedures,Probability for random assignment to each treatment arm,A,"ICH E6 guidelines require an explanation of the alternative procedures or courses of treatment that may be available to the subject, and their important potential benefits and risks. This information should be included in the informed consent form to ensure subjects have a full understanding and exercise of autonomy.",ACRP
"According to ICH E6, which document should the IRB review for the trial protocol and any amendments?",Subject recruitment procedures,Written ICF and consent form updates,Available safety information,Trial protocol/amendments,D,"According to ICH E6, the IRB should review the Trial protocol/amendments for the trial protocol and any amendments. This is essential to ensure compliance with regulatory requirements and to maintain the integrity of the clinical trial.",ACRP
Which statement accurately reflects the status of ICH guidelines in the United States?,They are mandatory for all clinical trials conducted in the US,They are only applicable to FDA-regulated drug studies,They are voluntary for FDA-regulated drug studies,They are not recognized by regulatory authorities in the US,C,"In the US, following the ICH E6 guideline is voluntary for FDA-regulated drug studies, as stated in the passage.",ACRP
Who is responsible for initiating and conducting the clinical investigation in a sponsor-investigator trial?,Physician,Drug Supplier/Manufacturer,Sponsor,Sponsor-investigator,D,"In a sponsor-investigator trial, an individual who both initiates and conducts the clinical investigation is known as the sponsor-investigator. This individual assumes all the responsibilities of the sponsor as well as those of an investigator.",ACRP
"Which of the following conditions, according to 21 CFR 312.2(b), exempts investigations using a marketed drug or biologic from requiring submission of an IND?",Intended to support a significant change in advertising for the product,Involves a route of administration or dosage level that significantly increases risk,Conducted in compliance with requirements concerning drug promotion and sale,Intended to invoke 21 CFR 50.24 for exception from informed consent,C,"According to 21 CFR 312.2(b), investigations using a marketed drug or biologic do not require submission of an IND if they are conducted in compliance with the requirements concerning the promotion and sale of drugs.",ACRP
What should investigators do if they need an opinion from the FDA on whether an IND/IDE is needed for a clinical trial involving a lawfully marketed drug or biological product for cancer?,Submit a full IND/IDE application to the FDA,Contact the reviewing division for the drug's/device's therapeutic indication and request an opinion,Assume agency approval if no response is received within 30 days of IND submission,Seek approval from the IRB/IEC before proceeding with the trial,B,Investigators should contact the reviewing division for the drug's/device's therapeutic indication and ask them to review and issue an opinion as to whether an IND/IDE is required for the study based on the protocol.,ACRP
What is the purpose of a letter of cross-reference between INDs?,To submit duplicate information to the FDA,To lessen the burden on the sponsor-investigator,To delay the clinical investigations process,To increase the workload for the sponsor-investigator,B,"The purpose of a letter of cross-reference between INDs is to lessen the burden on the sponsor-investigator by allowing them to reference technical information from the manufacturer's IND, thus preventing the unnecessary submission of duplicate information to the FDA.",ACRP
What is one of the responsibilities of sponsor-investigators in clinical trials?,Implement a system to manage quality throughout the clinical trial process,Conduct all monitoring activities personally,Submit reports only when requested by the FDA,Ignore non-compliance issues,A,"One of the responsibilities of sponsor-investigators in clinical trials is to implement a system to manage quality throughout the design, conduct, recording, evaluation, reporting, and archiving of clinical trials. This ensures that the trial is conducted in a rigorous and compliant manner.",ACRP
"When must adverse reactions that are unexpected, fatal, or life threatening be reported by the sponsor-investigator in the US?",Within 7 calendar days,Within 15 calendar days,Within 30 calendar days,Within 60 calendar days,A,"Adverse reactions that are unexpected, fatal, or life threatening must be reported no later than 7 calendar days after the sponsor-investigator receives the information.",ACRP
"According to ICH E6, one of the purposes of trial monitoring is to verify that:",The rights and well-being of human subjects are protected,The sponsor-investigator's risk determination is accurate,The FDA has made the final determination for the study,The study protocol is followed exactly as approved,A,"According to ICH E6, one of the primary purposes of trial monitoring is to ensure that the rights and well-being of human subjects are protected throughout the course of the clinical investigation. Monitoring activities focus on verifying compliance with the protocol, Good Clinical Practice (GCP) guidelines, and applicable regulatory requirements to safeguard the participants' safety and rights.",ACRP
Who should be promptly informed in case of premature termination or suspension of a clinical trial according to the passage?,Subjects and regulatory authorities,Sponsor and IRB/IEC,Institution and investigator,IRB/IEC and sponsor,B,"According to the passage, if the trial is prematurely terminated or suspended, the investigator/institution should promptly inform the sponsor and the IRB/IEC, and should provide them with a detailed written explanation of the termination or suspension.",ACRP
Who is responsible for making the initial risk determination for a device being used in a study?,The sponsor,The principal investigator,The study coordinator,The sponsor-investigator,D,The sponsor-investigator is responsible for making the initial risk determination for a device being used in a study.,ACRP
Which of the following is an important component of drug accountability?,Drug shipping and disposition records,Investigator's signature,Subject's medical history,Study coordinator's contact information,A,Drug shipping and disposition records are an essential component of drug accountability in clinical trials. These records help track the movement and handling of investigational products to ensure compliance with regulations and maintain the integrity of the study data.,ACRP
Where is information on storage requirements for the investigational product usually found?,In the study protocol,In the informed consent form,On the drug packaging,In the investigator's brochure,A,"Information on storage requirements for the investigational product is usually found in the study protocol, which outlines the procedures and guidelines for conducting the clinical trial.",ACRP
Which regulation covers the procedures for the conduct of clinical studies with medical devices?,45 CFR 46,21 CFR 50,21 CFR 56,21 CFR 812,D,"21 CFR 812 covers the procedures for the conduct of clinical studies with medical devices, including application, responsibilities of sponsors and investigators, labeling, records, and reports.",ACRP
Which class of medical devices requires a stringent premarketing approval application before they can be sold in the US?,Class I devices,Class II devices,Class III devices,All classes of devices,C,Class III devices are the highest risk devices that require a stringent premarketing approval application before they can be sold in the US. This is because general controls and special controls alone are not adequate to ensure their safety and effectiveness.,ACRP
Which of the following is NOT an example of a Class III medical device?,Artificial organs,Replacement heart valves,Pacemakers,Blood pressure monitors,D,"Class III medical devices are those that present a potential, unreasonable risk of injury or illness. Examples include artificial organs, replacement heart valves, and pacemakers. Blood pressure monitors are typically classified as Class II devices.",ACRP
Which FDA office was established to assist in determining the primary jurisdiction for review of combination and single entity products?,Center for Biologics Evaluation and Research,Center for Drug Evaluation and Research,Center for Devices and Radiological Health,Office of Combination Products,D,The passage states that the FDA Office of Combination Products was established to assist in determining the primary jurisdiction for review of both combination and single entity products.,ACRP
Which type of medical devices require a Premarket Approval (PMA) for marketing approval?,Class I devices,Class II devices,Class III devices,Devices cleared through 510(k),C,"Class III devices require a Premarket Approval (PMA) to obtain marketing approval, as the FDA has determined that general and special controls alone cannot ensure their safety and effectiveness.",ACRP
Which of the following is NOT a requirement for a device to qualify for an abbreviated IDE according to the passage?,Labeling the device in accordance with 21 CFR 812.5,Obtaining IRB/IEC approval of the investigation,Ensuring informed consent from each investigator,Complying with the requirements of 21 CFR 812.46 for monitoring investigations,C,"The passage states that the sponsor must ensure that each investigator obtains informed consent from each subject, not from each investigator. Therefore, option C is NOT a requirement for a device to qualify for an abbreviated IDE.",ACRP
What is the timeframe within which the FDA must respond to an IDE submission for SR studies?,15 days,30 days,45 days,60 days,B,"For SR studies, the FDA has 30 days to respond to an IDE submission. If the FDA has not responded within 30 days, approval is assumed and the study can begin.",ACRP
What is NOT a responsibility of investigators when conducting a clinical trial of a device?,"Protecting the rights, safety, and welfare of research subjects",Obtaining informed consent from each subject,Controlling the distribution of the device being investigated,Providing marketing strategies for the device,D,"Investigators are responsible for protecting the rights, safety, and welfare of research subjects, obtaining informed consent, controlling the distribution of the device being investigated, maintaining proper research records, reporting research progress, safety information, final results, financial disclosures, ensuring IRB/IEC review, and supervising the use of the investigational device. However, providing marketing strategies for the device is not a responsibility of investigators during a clinical trial.",ACRP
What must the IRB/IEC do if the device being investigated falls into the significant risk category?,Notify the FDA,Notify the investigator and sponsor,Proceed with the investigation immediately,Request a waiver under certain circumstances,B,"If the device being investigated falls into the significant risk category, the IRB/IEC must notify the investigator and, if appropriate, the sponsor before the investigation can begin.",ACRP
Who is responsible for reporting Evaluation of Unanticipated Adverse Device Effects (UADEs) to the FDA?,Investigator,Sponsor,Device manufacturer,FDA,B,"In the context of reporting Evaluation of Unanticipated Adverse Device Effects (UADEs), it is the responsibility of the Sponsor to report these to the FDA.",ACRP
Which entity should specify what is appropriate to record for a particular protocol to ensure consistent data across research sites?,Medically qualified individual,Investigational agent,Sponsor,National Cancer Institute,C,The passage states that the sponsor of the research should specify what is appropriate to record for the particular protocol to ensure consistency across research sites.,ACRP
"When evaluating the causality of an adverse event, which of the following should be a consideration?",The color of the investigational agent,The taste of the investigational agent,The timing of the event in relation to administration of the investigational agent,The investigator's favorite food,C,"When evaluating the causality of an adverse event, one of the key considerations should be the timing of the event in relation to the administration of the investigational agent. This helps determine if the event is likely related to the drug being studied.",ACRP
Who should determine causality of the serious adverse event in a clinical trial?,Principal Investigator,ED Nurse,Subject's Primary Care Physician,Study Coordinator,A,"In a clinical trial setting, the Principle Investigator is responsible for determining the causality of serious adverse events. They have the expertise and authority to assess whether there is a reasonable possibility that the drug or device used in the trial caused the adverse event.",ACRP
What is considered a life-threatening adverse event?,An event that results in death,An event that may have caused death in a more severe form,An event that places the patient at risk of death,An event that requires hospitalization,C,"A life-threatening adverse event is considered as such if it places the patient at risk of death, according to either the investigator or sponsor. It does not include events that, if more severe, might have caused death.",ACRP
"According to ICH E6, when should all serious adverse events (SAEs) be reported to the sponsor?",Immediately,Within 24 hours,Within 72 hours,At the next scheduled monitoring visit,A,"According to ICH E6, all serious adverse events (SAEs) should be reported immediately to the sponsor, followed promptly by detailed, written reports. This ensures timely communication and appropriate documentation of SAEs in clinical trials.",ACRP
"According to industry standard, when should serious adverse events be reported?",Immediately,Within 24 hours,Within 15 calendar days,Within 7 calendar days,B,"The industry standard for reporting serious adverse events is within 24 hours, even though the term 'immediately' is not specifically defined in the regulation.",ACRP
"According to the passage, which of the following is NOT a requirement for reporting adverse events to ClinicalTrials.gov?",Summarizing all serious adverse events in a table,Summarizing other adverse events with a frequency of 5 or more in any arm of the study,Summarizing all-cause mortality by arm or group of the study,Reporting every single adverse event individually,D,"The passage states that ClinicalTrials.gov requires reporting of summary information of adverse events, including serious adverse events, other adverse events with a frequency of 5 or more, and all-cause mortality. Reporting every single adverse event individually is not a requirement as per the passage.",ACRP
Which of the following events would require the sponsor to file an IND Safety Report with the FDA?,Subject 603 had an unexpected stroke on Day 7,"Subject 415 complained of nausea, vomiting, and headache on Day 15",Subject 20 had brief dizzy spells on Day 21,Subject 311 had elevated WBC counts for the past 2 study visits,A,"According to the FDA definition of serious and unexpected events, an unexpected stroke like the one experienced by Subject 603 on Day 7 would require the sponsor to file an IND Safety Report with the FDA.",ACRP
Who is ultimately responsible for the quality and integrity of the data in a clinical trial?,Bioresearch Monitoring Program,Clinical Investigator,Contract Research Organization (CRO),FDA,C,"While various entities play important roles in clinical trials, the ultimate responsibility for the quality and integrity of the data always resides with the sponsor. The sponsor may transfer responsibilities and tasks to a Contract Research Organization (CRO), but they are ultimately accountable.",ACRP
What are some common deficiencies noted during FDA inspections?,Failure to follow protocol or investigator statement on the Form FDA 1572,Inadequate recordkeeping,Inadequate subject protections including informed consent issues,All of the above,D,"Common deficiencies noted during FDA inspections include failure to follow protocol or investigator statement on the Form FDA 1572, inadequate recordkeeping, and inadequate subject protections including informed consent issues.",ACRP
What action may the FDA take if a clinical investigator fails to respond to Form FDA 483 within 15 business days?,Issue a Warning Letter,Send a letter confirming basic compliance,Initiate investigator disqualification process,Reject study data,A,"If the FDA does not receive a written response within 15 business days to Form FDA 483, it may not consider the response when determining the adequacy of corrective actions. This lack of response could lead to the FDA taking more definitive steps, such as issuing a Warning Letter.",ACRP
Which organization has jurisdiction over human subjects research conducted at an institution?,FDA,OHRP,Sponsor,ICH,B,The passage states that OHRP has jurisdiction over human subjects research conducted at the organization.,ACRP
What is the primary objective of a site initiation visit during clinical trial monitoring?,Assessing investigator's interest in conducting the study,Evaluating facility and staff capacity,Training the investigator and study team,Ensuring site has fulfilled study responsibilities,C,"During a site initiation visit, the primary objective is to train the investigator and study team to conduct the trial according to protocol requirements.",ACRP
